CustomerID,FirstName,LastName,Age,Gender,MaritalStatus,Occupation,AnnualIncome,PolicyType,PolicyPremium,PolicyStart,PolicyEnd
84,Amelia,Clark,34,Female,Married,IT Professional,85000,Health Insurance,550,2101-09-22,2111-09-22
85,Jack,Watson,56,Male,Married,Manager,120000,Auto Insurance,700,2102-11-05,2112-11-05
86,Olivia,Perez,38,Female,Single,Engineer,95000,Home Insurance,700,2103-12-19,2113-12-19
87,James,Hill,49,Male,Married,Teacher,70000,Life Insurance,900,2105-02-01,2115-02-01
88,Sophia,Harris,35,Female,Married,Doctor,180000,Health Insurance,1200,2106-03-16,2116-03-16
89,William,Walker,52,Male,Married,IT Professional,80000,Auto Insurance,550,2107-04-29,2117-04-29
90,Emma,Richardson,36,Female,Single,Manager,110000,Home Insurance,600,2108-06-12,2118-06-12
91,Liam,Turner,55,Male,Married,Engineer,100000,Life Insurance,800,2109-07-25,2119-07-25
92,Olivia,Ward,39,Female,Married,Doctor,150000,Health Insurance,1000,2110-09-07,2120-09-07
93,Mason,Cook,37,Male,Single,IT Professional,85000,Auto Insurance,500,2111-10-20,2121-10-20
94,Emma,Bell,50,Female,Married,Teacher,70000,Home Insurance,700,2112-12-03,2122-12-03
95,Aiden,Gonzalez,34,Male,Married,Manager,110000,Life Insurance,900,2114-01-16,2124-01-16
96,Ava,Scott,54,Female,Married,Engineer,100000,Health Insurance,1100,2115-02-28,2125-02-28
97,Lucas,Phillips,37,Male,Single,Doctor,180000,Auto Insurance,550,2116-04-12,2126-04-12
98,Emily,Adams,51,Female,Married,IT Professional,80000,Home Insurance,400,2117-05-25,2127-05-25
99,Noah,Parker,35,Male,Married,Teacher,70000,Life Insurance,850,2118-07-08,2128-07-08
100,Olivia,Young,49,Female,Married,Engineer,100000,Health Insurance,600,2119-08-21,2129-08-21
