CustomerID,FirstName,LastName,Age,Gender,MaritalStatus,Occupation,AnnualIncome,PolicyType,PolicyPremium,DateAcquired
43,Liam,Hernandez,45,Male,Married,IT Professional,85000,Auto Insurance,420,2025-07-10
44,Amelia,Butler,39,Female,Single,Doctor,180000,Home Insurance,950,2025-08-15
45,Benjamin,Flores,53,Male,Married,Manager,150000,Life Insurance,650,2025-09-20
46,Mia,Foster,42,Female,Married,Lawyer,120000,Health Insurance,400,2025-10-25
47,Logan,Gonzalez,33,Male,Single,Accountant,80000,Auto Insurance,470,2025-11-30
48,Charlotte,Morgan,48,Female,Married,Business Owner,200000,Home Insurance,1000,2025-12-05
49,Noah,Murphy,35,Male,Married,Engineer,95000,Life Insurance,540,2026-01-10
50,Sofia,Kelly,30,Female,Single,Teacher,65000,Health Insurance,320,2026-02-15
51,Lucas,Barnes,44,Male,Married,IT Professional,85000,Auto Insurance,400,2026-03-20
52,Lily,Campbell,36,Female,Single,Doctor,170000,Home Insurance,900,2026-04-25
53,Jackson,Rivera,52,Male,Married,Manager,140000,Life Insurance,610,2026-05-30
54,Grace,Ward,41,Female,Married,Lawyer,110000,Health Insurance,380,2026-06-05
55,Aiden,Turner,34,Male,Single,Accountant,75000,Auto Insurance,450,2026-07-10
56,Evelyn,James,49,Female,Married,Business Owner,220000,Home Insurance,1100,2026-08-15
57,Carter,Phillips,31,Male,Single,Engineer,90000,Life Insurance,520,2026-09-20
58,Scarlett,Morris,37,Female,Single,Teacher,60000,Health Insurance,280,2026-10-25
59,Sebastian,Foster,45,Male,Married,IT Professional,85000,Auto Insurance,420,2026-11-30
60,Hannah,Hall,39,Female,Single,Doctor,180000,Home Insurance,950,2026-12-05
61,Jack,Garcia,53,Male,Married,Manager,150000,Life Insurance,650,2027-01-10
62,Lucy,Allen,42,Female,Married,Lawyer,120000,Health Insurance,400,2027-02-15
63,Ryan,Young,33,Male,Single,Accountant,80000,Auto Insurance,470,2027-03-20
64,Layla,Hill,48,Female,Married,Business Owner,200000,Home Insurance,1000,2027-04-25
65,Owen,Harris,35,Male,Married,Engineer,95000,Life Insurance,540,2027-05-30
66,Zoe,Clark,30,Female,Single,Teacher,65000,Health Insurance,320,2027-06-05
67,Wyatt,Adams,44,Male,Married,IT Professional,85000,Auto Insurance,400,2027-07-10
68,Stella,Baker,36,Female,Single,Doctor,170000,Home Insurance,900,2027-08-15
69,Grayson,Gonzalez,52,Male,Married,Manager,140000,Life Insurance,610,2027-09-20
70,Victoria,Flores,41,Female,Married,Lawyer,110000,Health Insurance,380,2027-10-25
71,Henry,Cooper,34,Male,Single,Accountant,75000,Auto Insurance,450,2027-11-30
72,Bella,Reed,49,Female,Married,Business Owner,220000,Home Insurance,1100,2027-12-05
73,Leo,Watson,31,Male,Single,Engineer,90000,Life Insurance,520,2028-01-10
74,Eleanor,Howard,37,Female,Single,Teacher,60000,Health Insurance,280,2028-02-15
75,Jacob,Richardson,45,Male,Married,IT Professional,85000,Auto Insurance,420,2028-03-20
76,Avery,Brooks,39,Female,Single,Doctor,180000,Home Insurance,950,2028-04-25
77,Nathan,Campbell,53,Male,Married,Manager,150000,Life Insurance,650,2028-05-30
78,Sophie,Allen,42,Female,Married,Lawyer,120000,Health Insurance,400,2028-06-05
79,Isaac,Taylor,33,Male,Single,Accountant,80000,Auto Insurance,470,2028-07-10
80,Elizabeth,Wright,48,Female,Married,Business Owner,200000,Home Insurance,1000,2028-08-15
81,Elijah,Stewart,35,Male,Married,Engineer,95000,Life Insurance,540,2028-09-20
82,Audrey,Ross,30,Female,Single,Teacher,65000,Health Insurance,320,2028-10-25
83,Lincoln,Morgan,44,Male,Married,IT Professional,85000,Auto Insurance,400,2028-11-30
84,Scarlett,Hernandez,36,Female,Single,Doctor,170000,Home Insurance,900,2028-12-05
85,Nolan,Foster,52,Male,Married,Manager,140000,Life Insurance,610,2029-01-10
86,Lily,Rodriguez,41,Female,Married,Lawyer,110000,Health Insurance,380,2029-02-15
87,Elijah,Hill,34,Male,Single,Accountant,75000,Auto Insurance,450,2029-03-20
88,Aria,Butler,49,Female,Married,Business Owner,220000,Home Insurance,1100,2029-04-25
89,Caleb,Flores,31,Male,Single,Engineer,90000,Life Insurance,520,2029-05-30
90,Aubrey,Gomez,37,Female,Single,Teacher,60000,Health Insurance,280,2029-06-05
91,Isaiah,Turner,45,Male,Married,IT Professional,85000,Auto Insurance,420,2029-07-10
92,Hazel,Perez,39,Female,Single,Doctor,180000,Home Insurance,950,2029-08-15
93,Julian,Johnson,53,Male,Married,Manager,150000,Life Insurance,650,2029-09-20
94,Paisley,Cook,42,Female,Married,Lawyer,120000,Health Insurance,400,2029-10-25
95,Adam,Roberts,33,Male,Single,Accountant,80000,Auto Insurance,470,2029-11-30
96,Alice,Martin,48,Female,Married,Business Owner,200000,Home Insurance,1000,2029-12-05
97,Hudson,Anderson,35,Male,Married,Engineer,95000,Life Insurance,540,2030-01-10
98,Lillian,Miller,30,Female,Single,Teacher,65000,Health Insurance,320,2030-02-15
99,Gabriel,Clark,44,Male,Married,IT Professional,85000,Auto Insurance,400,2030-03-20
100,Addison,Young,36,Female,Single,Doctor,170000,Home Insurance,900,2030-04-25
